year,month,region,consumption_kWh
2021,Jan,Northeast,136647.46
2021,Jan,West,72566.8
2021,Jan,Southwest,72566.8
2021,Feb,Midwest,111957.67
2021,Feb,Southeast,56522.015
2021,Feb,Southwest,56522.015
2021,Feb,Northeast,117941.73
2021,Feb,West,69169.39
2021,Feb,Southwest,69169.39
2021,Mar,Midwest,107755.9
2021,Mar,Southeast,55133.39
2021,Mar,Southwest,55133.39
2021,Mar,Northeast,112805.27
2021,Mar,West,68788.24
2021,Mar,Southwest,68788.24
2021,Apr,Midwest,128359.31
2021,Apr,Southeast,54069.68
2021,Apr,Southwest,54069.68
2021,Apr,Northeast,126260.78
2021,Apr,West,55429.645
2021,Apr,Southwest,55429.645
2021,May,Midwest,103779.59
2021,May,Southeast,62134.96
2021,May,Southwest,62134.96
2021,May,Northeast,128660.77
2021,May,West,65761.325
2021,May,Southwest,65761.325
2021,Jun,Midwest,129793.75
2021,Jun,Southeast,47965.675
2021,Jun,Southwest,47965.675
2021,Jun,Northeast,126427.97
2021,Jun,West,61221.82
2021,Jun,Southwest,61221.82
2021,Jul,Midwest,124613.07
2021,Jul,Southeast,67561.345
2021,Jul,Southwest,67561.345
2021,Jul,Northeast,112781.72
2021,Jul,West,68573.85
2021,Jul,Southwest,68573.85
2021,Aug,Midwest,121343.59
2021,Aug,Southeast,69273.67
2021,Aug,Southwest,69273.67
2021,Aug,Northeast,124790.58
2021,Aug,West,56790.84
2021,Aug,Southwest,56790.84
2021,Sep,Midwest,116614.14
2021,Sep,Southeast,49660.37
2021,Sep,Southwest,49660.37
2021,Sep,Northeast,111834.01
2021,Sep,West,57094.395
2021,Sep,Southwest,57094.395
2021,Oct,Midwest,116585.76
2021,Oct,Southeast,51427.87
2021,Oct,Southwest,51427.87
2021,Oct,Northeast,107913.58
2021,Oct,West,56783.38
2021,Oct,Southwest,56783.38
2021,Nov,Midwest,93900.62
2021,Nov,Southeast,68288.555
2021,Nov,Southwest,68288.555
2021,Nov,Northeast,97472.94
2021,Nov,West,43847.55
2021,Nov,Southwest,43847.55
2021,Dec,Midwest,118628.62
2021,Dec,Southeast,60867.54
2021,Dec,Southwest,60867.54
2021,Dec,Northeast,135852.29
2021,Dec,West,63646.42
2021,Dec,Southwest,63646.42
2022,Jan,Midwest,127616.99
2022,Jan,Southeast,72301.09
2022,Jan,Southwest,72301.09
2022,Jan,Northeast,111844.2
2022,Jan,West,54571.35
2022,Jan,Southwest,54571.35
2022,Feb,Midwest,121480.26
2022,Feb,Southeast,51605.905
2022,Feb,Southwest,51605.905
2022,Feb,Northeast,119625.33
2022,Feb,West,66720.52
2022,Feb,Southwest,66720.52
2022,Mar,Midwest,121458.25
2022,Mar,Southeast,66343.89
2022,Mar,Southwest,66343.89
2022,Mar,Northeast,131690.83
2022,Mar,West,73466.325
2022,Mar,Southwest,73466.325
2022,Apr,Midwest,125755.88
2022,Apr,Southeast,48473.675
2022,Apr,Southwest,48473.675
2022,Apr,Northeast,100763.67
2022,Apr,West,76339.98
2022,Apr,Southwest,76339.98
2022,May,Midwest,137898.91
2022,May,Southeast,61019.235
2022,May,Southwest,61019.235
2022,May,Northeast,106451.01
2022,May,West,66076.84
2022,May,Southwest,66076.84
2022,Jun,Midwest,122808.34
2022,Jun,Southeast,57938.7
2022,Jun,Southwest,57938.7
2022,Jun,Northeast,111665.19
2022,Jun,West,58564.485
2022,Jun,Southwest,58564.485
2022,Jul,Midwest,97721.52
2022,Jul,Southeast,68235.305
2022,Jul,Southwest,68235.305
2022,Jul,Northeast,122775.1
2022,Jul,West,53794.415
2022,Jul,Southwest,53794.415
2022,Aug,Midwest,98238.93
2022,Aug,Southeast,62580.885
2022,Aug,Southwest,62580.885
2022,Aug,Northeast,134136.36
2022,Aug,West,46272.085
2022,Aug,Southwest,46272.085
2022,Sep,Midwest,121423.22
2022,Sep,Southeast,60811.11
2022,Sep,Southwest,60811.11
2022,Sep,Northeast,112227.94
2022,Sep,West,51337.485
2022,Sep,Southwest,51337.485
2022,Oct,Midwest,118344.82
2022,Oct,Southeast,69347.925
2022,Oct,Southwest,69347.925
2022,Oct,Northeast,150752.33
2022,Oct,West,79162.545
2022,Oct,Southwest,79162.545
2022,Nov,Midwest,131355.08
2022,Nov,Southeast,56701.37
2022,Nov,Southwest,56701.37
2022,Nov,Northeast,136625.2
2022,Nov,West,63230.22
2022,Nov,Southwest,63230.22
2022,Dec,Midwest,143521.03
2022,Dec,Southeast,74994.495
2022,Dec,Southwest,74994.495
2022,Dec,Northeast,111495.39
2022,Dec,West,61228.915
2022,Dec,Southwest,61228.915
2023,Jan,Midwest,144000.97
2023,Jan,Southeast,55598.435
2023,Jan,Southwest,55598.435
2023,Jan,Northeast,77982.0
2023,Jan,West,45587.01
2023,Jan,Southwest,45587.01
2023,Feb,Midwest,120815.55
2023,Feb,Southeast,65564.99
2023,Feb,Southwest,65564.99
2023,Feb,Northeast,109355.23
2023,Feb,West,47600.95
2023,Feb,Southwest,47600.95
2023,Mar,Midwest,91290.38
2023,Mar,Southeast,68107.09
2023,Mar,Southwest,68107.09
2023,Mar,Northeast,134123.59
2023,Mar,West,62958.155
2023,Mar,Southwest,62958.155
2023,Apr,Midwest,124068.67
2023,Apr,Southeast,56911.155
2023,Apr,Southwest,56911.155
2023,Apr,Northeast,113154.66
2023,Apr,West,61766.84
2023,Apr,Southwest,61766.84
2023,May,Midwest,113329.12
2023,May,Southeast,52118.57
2023,May,Southwest,52118.57
2023,May,Northeast,98557.82
2023,May,West,52709.895
2023,May,Southwest,52709.895
2023,Jun,Midwest,99666.77
2023,Jun,Southeast,62498.86
2023,Jun,Southwest,62498.86
2023,Jun,Northeast,109446.95
2023,Jun,West,59326.06
2023,Jun,Southwest,59326.06
2023,Jul,Midwest,103317.81
2023,Jul,Southeast,56649.95
2023,Jul,Southwest,56649.95
2023,Jul,Northeast,129867.6
2023,Jul,West,64532.455
2023,Jul,Southwest,64532.455
2023,Aug,Midwest,99581.28
2023,Aug,Southeast,55992.53
2023,Aug,Southwest,55992.53
2023,Aug,Northeast,126235.71
2023,Aug,West,55922.36
2023,Aug,Southwest,55922.36
2023,Sep,Midwest,114567.03
2023,Sep,Southeast,71940.53
2023,Sep,Southwest,71940.53
2023,Sep,Northeast,125738.89
2023,Sep,West,69678.49
2023,Sep,Southwest,69678.49
2023,Oct,Midwest,123906.85
2023,Oct,Southeast,67521.69
2023,Oct,Southwest,67521.69
2023,Oct,Northeast,129324.92
2023,Oct,West,57946.36
2023,Oct,Southwest,57946.36
2023,Nov,Midwest,142782.54
2023,Nov,Southeast,54426.895
2023,Nov,Southwest,54426.895
2023,Nov,Northeast,104446.46
2023,Nov,West,60373.765
2023,Nov,Southwest,60373.765
2023,Dec,Midwest,109726.93
2023,Dec,Southeast,53760.24
2023,Dec,Southwest,53760.24
2023,Dec,Northeast,129368.07
2023,Dec,West,55813.925
2023,Dec,Southwest,55813.925
2024,Jan,Midwest,99238.3
2024,Jan,Southeast,51699.03
2024,Jan,Southwest,51699.03
2024,Jan,Northeast,116648.92
2024,Jan,West,61763.42
2024,Jan,Southwest,61763.42
2024,Feb,Midwest,111100.75
2024,Feb,Southeast,62679.255
2024,Feb,Southwest,62679.255
2024,Feb,Northeast,112320.03
2024,Feb,West,61622.055
2024,Feb,Southwest,61622.055
2024,Mar,Midwest,127495.6
2024,Mar,Southeast,55911.96
2024,Mar,Southwest,55911.96
2024,Mar,Northeast,135190.07
2024,Mar,West,52132.68
2024,Mar,Southwest,52132.68
2024,Apr,Midwest,139719.57
2024,Apr,Southeast,45434.005
2024,Apr,Southwest,45434.005
2024,Apr,Northeast,134265.34
2024,Apr,West,54974.185
2024,Apr,Southwest,54974.185
2024,May,Midwest,106480.75
2024,May,Southeast,50888.31
2024,May,Southwest,50888.31
2024,May,Northeast,106883.49
2024,May,West,53847.26
2024,May,Southwest,53847.26
2024,Jun,Midwest,109971.03
2024,Jun,Southeast,63916.21
2024,Jun,Southwest,63916.21
2024,Jun,Northeast,122489.6
2024,Jun,West,69910.04
2024,Jun,Southwest,69910.04
2024,Jul,Midwest,91595.08
2024,Jul,Southeast,55487.02
2024,Jul,Southwest,55487.02
2024,Jul,Northeast,127811.06
2024,Jul,West,44021.23
2024,Jul,Southwest,44021.23
2024,Aug,Midwest,93718.13
2024,Aug,Southeast,59032.315
2024,Aug,Southwest,59032.315
2024,Aug,Northeast,110175.07
2024,Aug,West,57275.19
2024,Aug,Southwest,57275.19
2024,Sep,Midwest,102494.7
2024,Sep,Southeast,67072.34
2024,Sep,Southwest,67072.34
2024,Sep,Northeast,132375.09
2024,Sep,West,59001.275
2024,Sep,Southwest,59001.275
2024,Oct,Midwest,127355.13
2024,Oct,Southeast,65477.17
2024,Oct,Southwest,65477.17
2024,Oct,Northeast,103036.43
2024,Oct,West,57399.085
2024,Oct,Southwest,57399.085
2024,Nov,Midwest,92594.49
2024,Nov,Southeast,60445.295
2024,Nov,Southwest,60445.295
2024,Nov,Northeast,125413.62
2024,Nov,West,66203.26
2024,Nov,Southwest,66203.26
2024,Dec,Midwest,103479.93
2024,Dec,Southeast,60850.96
2024,Dec,Southwest,60850.96
2024,Dec,Northeast,119375.99
2024,Dec,West,49943.855
2024,Dec,Southwest,49943.855
